ingrl;sexo;edad;escol;lningrl;edad2
150;0;57;9;5.0106354;3249
0;1;19;11;;361
518;1;39;8;6.2499752;1521
318;0;33;8;5.7620516;1089
0;1;28;12;;784
450;1;28;17;6.1092477;784
150;0;33;6;5.0106354;1089
265;0;34;6;5.57973;1156
400;1;65;6;5.9914646;4225
45;1;66;2;3.8066626;4356
430;1;40;6;6.0637851;1600
300;1;34;9;5.7037826;1156
670;1;42;15;6.5072775;1764
710;0;43;16;6.5652652;1849
390;1;26;6;5.9661469;676
496;0;27;12;6.2065759;729
370;1;28;6;5.9135032;784
4000;1;56;4;8.2940493;3136
400;1;30;6;5.9914646;900
318;1;28;6;5.7620516;784
318;1;22;12;5.7620516;484
400;1;40;6;5.9914646;1600
700;0;63;12;6.5510802;3969
700;0;38;16;6.5510802;1444
240;1;55;6;5.480639;3025
120;1;24;6;4.7874918;576
200;1;72;2;5.2983174;5184
150;0;71;2;5.0106354;5041
520;1;52;6;6.253829;2704
284;1;21;12;5.6489744;441
1000;1;41;6;6.9077554;1681
600;1;19;12;6.3969297;361
200;1;48;12;5.2983174;2304
348;0;46;12;5.8522024;2116
200;1;21;12;5.2983174;441
0;0;43;15;;1849
749;1;25;16;6.6187391;625
466;0;25;15;6.1441855;625
1785;1;41;18;7.4871736;1681
900;0;32;17;6.8023949;1024
1090;1;27;14;6.9939332;729
3300;1;52;19;8.1016779;2704
533;0;47;17;6.2785215;2209
700;1;32;17;6.5510802;1024
60;1;52;6;4.0943446;2704
600;0;74;9;6.3969297;5476
312;0;39;15;5.7430034;1521
1150;1;52;17;7.0475173;2704
950;0;48;17;6.856462;2304
880;0;28;17;6.779922;784
348;1;24;16;5.8522024;576
435;1;23;12;6.075346;529
348;0;30;13;5.8522024;900
689;1;42;16;6.5352411;1764
875;0;42;16;6.7742238;1764
445;1;34;6;6.0980744;1156
80;0;55;6;4.3820267;3025
500;1;38;17;6.2146082;1444
495;0;35;12;6.2045579;1225
305;0;70;2;5.7203116;4900
0;1;20;10;;400
340;0;18;12;5.8289456;324
340;1;26;12;5.8289456;676
340;1;26;12;5.8289456;676
0;1;20;9;;400
530;1;19;10;6.2728772;361
1320;1;50;17;7.1853871;2500
670;0;45;13;6.5072775;2025
385;0;31;12;5.9532433;961
318;0;57;9;5.7620516;3249
385;1;23;12;5.9532433;529
940;1;33;15;6.84588;1089
715;0;33;14;6.5722823;1089
1000;1;51;17;6.9077554;2601
900;0;51;16;6.8023949;2601
880;1;27;17;6.779922;729
500;1;30;13;6.2146082;900
838;1;58;13;6.7310181;3364
532;0;49;12;6.2766433;2401
458;1;27;12;6.1268692;729
438;0;34;12;6.0822191;1156
